0,1,2,3,4,5,6,7,8
10,7,1,50,20,10,2,42,24
9,8,1,50,21,10,2,43,23
10,7,1,52,22,10,2,44,23
9,8,1,52,22,10,2,45,22
10,8,1,52,22,10,2,46,20
10,7,1,51,22,10,2,48,19
9,6,1,53,22,9,3,50,17
8,7,1,53,22,9,3,50,17
8,7,1,51,22,9,3,51,16
8,9,1,50,22,9,3,52,15
9,8,1,50,23,8,3,52,16
9,10,1,49,23,8,3,53,16
8,10,2,50,24,8,3,53,15
9,10,2,50,24,8,3,53,15
7,11,3,50,24,8,3,54,15
7,11,2,50,25,9,3,54,15
7,13,2,49,26,8,2,55,15
8,13,2,50,26,8,2,57,14
7,13,2,50,27,8,2,56,15
6,14,2,51,27,9,2,56,17
5,15,2,51,27,9,2,56,16
5,15,2,51,27,10,2,54,17
5,15,2,53,27,10,2,53,17
6,15,2,52,28,10,2,55,16
5,16,2,51,29,9,2,53,17
6,15,2,51,31,9,2,53,16
6,16,2,50,32,8,2,52,16
7,15,3,51,33,7,2,51,17
8,15,2,51,34,7,2,52,18
8,15,2,51,35,8,2,51,18
9,15,2,50,35,8,2,51,18
9,15,1,51,35,8,2,51,17
10,14,1,51,35,9,2,50,17
9,15,1,50,35,9,2,50,16
11,15,1,50,36,9,2,51,16
12,14,1,50,36,8,2,50,17
12,14,1,51,37,7,3,51,16
14,15,1,51,37,8,4,51,17
15,16,1,53,35,7,5,49,18
13,19,1,50,35,7,5,49,18
12,19,2,53,32,7,5,49,18
12,21,2,51,34,7,5,49,18
11,22,2,53,32,7,5,50,17
12,24,1,54,30,7,5,51,17
11,26,1,54,29,7,5,50,17
11,27,1,54,27,7,5,50,18
9,28,1,55,26,7,5,47,18
8,29,2,54,25,7,6,47,16
8,31,2,53,23,7,6,46,15
8,31,2,53,25,7,6,47,15
6,35,2,53,23,7,6,45,14
7,35,2,54,23,7,6,45,13
7,37,2,54,22,8,7,44,13
7,39,2,51,22,7,7,43,11
7,39,2,53,20,7,7,44,12
9,39,2,51,22,8,7,42,12
11,39,1,52,22,10,6,42,13
12,39,1,49,24,10,6,42,12
12,39,1,49,22,9,7,43,13
13,40,2,48,23,9,7,42,13
14,40,2,47,23,9,7,42,13
16,39,2,48,23,9,6,41,14
17,39,2,48,24,9,7,41,13
19,37,1,48,24,10,6,41,15
20,35,2,48,24,11,6,41,14
20,35,2,49,23,11,6,42,15
22,33,2,50,23,11,6,41,15
20,34,2,50,22,11,6,42,15
22,32,2,53,20,11,6,42,15
21,32,2,52,20,11,6,41,16
23,30,3,56,19,12,7,38,17
23,29,3,54,19,12,7,38,17
22,29,3,55,19,11,9,37,18
22,27,4,57,17,11,8,37,18
22,26,4,60,16,11,8,37,18
22,26,3,60,16,12,9,37,19
20,26,3,62,15,12,7,36,19
19,27,3,62,14,12,8,36,19
16,27,3,62,13,12,8,37,19
17,26,3,61,14,12,8,37,19
15,28,2,61,14,13,8,36,19
15,27,2,61,14,13,8,35,19
13,28,2,58,15,13,9,33,19
12,26,3,57,15,12,10,33,20
13,25,3,57,16,12,12,32,22
12,24,3,58,16,11,13,33,23
14,22,2,59,17,13,13,32,25
14,20,3,58,17,11,14,32,26
14,18,4,58,17,11,14,32,27
12,17,3,57,17,11,15,32,28
13,17,3,57,17,10,16,32,29
14,17,3,56,17,11,16,33,28
15,16,3,56,17,11,16,32,31
16,13,4,54,17,11,16,33,31
17,12,4,54,18,12,15,33,33
17,12,4,53,18,12,15,34,31
18,11,4,53,18,12,15,34,31
18,10,4,52,18,13,14,36,29
19,9,4,51,19,13,15,36,27
18,8,3,50,19,15,13,37,26
19,8,3,49,20,15,13,37,25
17,8,3,49,20,16,11,39,24
17,7,3,48,21,16,11,39,23
18,7,2,48,21,17,9,40,23
17,8,1,47,21,19,8,41,23
16,7,1,47,21,19,7,43,22
14,8,2,44,21,20,6,43,23
13,8,2,45,20,20,5,44,23
13,7,2,46,20,20,5,44,23
13,7,2,47,20,21,3,45,23
11,8,1,45,20,22,3,45,23
11,7,1,47,20,21,3,46,24
11,6,1,48,19,21,3,46,24
10,7,1,48,19,21,2,47,23
9,7,1,48,19,21,2,46,24
8,7,1,48,19,21,2,47,25
8,8,1,49,19,20,3,50,22
8,8,1,49,19,20,2,50,23
10,6,1,50,19,20,2,52,22
9,7,1,50,19,20,2,51,23
10,7,1,50,19,19,3,52,22
7,8,2,50,19,20,2,51,21
9,7,2,49,20,19,3,52,21
9,7,1,49,20,19,3,53,21
10,7,1,52,21,19,4,53,20
8,8,1,51,21,18,4,54,19
9,7,1,51,21,17,5,53,18
9,7,2,51,21,17,5,54,16
8,8,2,51,21,15,7,53,17
8,7,2,53,21,15,7,54,14
8,7,2,53,22,15,7,54,15
9,7,2,53,22,15,7,54,14
9,6,2,54,24,13,8,55,12
10,7,2,51,25,12,7,55,11
9,8,2,51,27,12,7,56,9
9,9,2,51,27,12,7,56,10
7,10,2,51,28,13,7,58,8
8,10,2,51,29,12,7,58,7
7,11,1,53,29,13,6,59,6
8,10,1,53,30,13,6,60,4
7,12,1,51,32,12,5,62,3
7,12,1,52,32,12,5,62,3
7,12,2,52,33,12,5,62,2
6,14,2,52,33,13,5,61,3
7,13,1,53,34,13,6,61,2
7,14,1,52,36,13,6,58,2
6,14,1,52,36,14,5,58,2
6,16,1,51,38,15,4,56,2
7,15,1,53,38,16,3,57,2
7,16,1,50,41,16,2,55,2
7,16,1,50,43,15,1,55,2
10,15,1,50,42,14,2,55,2
11,14,1,51,44,13,2,55,2
10,15,1,51,44,12,3,55,2
10,14,2,50,45,11,3,54,2
11,14,2,50,45,11,3,54,2
12,14,2,50,46,10,3,52,2
13,13,2,49,47,10,3,51,2
13,12,2,51,47,10,3,49,2
