run,type,module,name,attrname,attrvalue,value
General-2-20190312-21:26:25-12926,param,,,*.rsu[8].appl.computationPower,20.9,
General-2-20190312-21:26:25-12926,param,,,*.rsu[9].appl.computationPower,38.2,
General-2-20190312-21:26:25-12926,param,,,*.rsu[10].appl.computationPower,17.6,
General-2-20190312-21:26:25-12926,param,,,*.rsu[2..10].appl.minNumCars,20,
General-2-20190312-21:26:25-12926,param,,,*.rsu[2..10].appl.loadBalancerId,2,
General-2-20190312-21:26:25-12926,param,,,*.rsu[2].appl.id,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[3].appl.id,1,
General-2-20190312-21:26:25-12926,param,,,*.rsu[4].appl.id,2,
General-2-20190312-21:26:25-12926,param,,,*.rsu[5].appl.id,3,
General-2-20190312-21:26:25-12926,param,,,*.rsu[6].appl.id,4,
General-2-20190312-21:26:25-12926,param,,,*.rsu[7].appl.id,5,
General-2-20190312-21:26:25-12926,param,,,*.rsu[8].appl.id,6,
General-2-20190312-21:26:25-12926,param,,,*.rsu[9].appl.id,7,
General-2-20190312-21:26:25-12926,param,,,*.rsu[10].appl.id,8,
General-2-20190312-21:26:25-12926,param,,,*.rsu[2..10].appl.penaltyInterval,5,
General-2-20190312-21:26:25-12926,param,,,*.rsu[2..10].appl.expectedReliability,1,
General-2-20190312-21:26:25-12926,param,,,*.rsu[1].applType,"""RandomForestApp.LoadBalancer""",
General-2-20190312-21:26:25-12926,param,,,*.rsu[1].appl.id,2,
General-2-20190312-21:26:25-12926,param,,,*.rsu[1].appl.upperBound,8,
General-2-20190312-21:26:25-12926,param,,,*.rsu[1].appl.lowerBound,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[1].appl.timeOutIntervals,3,
General-2-20190312-21:26:25-12926,param,,,*.rsu[1].appl.expectedComputationWork,50,
