File,Run,runattr:configname,runattr:datetime,runattr:experiment,runattr:inifile,runattr:iterationvars,runattr:iterationvarsf,runattr:measurement,runattr:network,runattr:processid,runattr:repetition,runattr:replication,runattr:resultdir,runattr:runnumber,runattr:seedset,Module,Name,,
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,ReceivedBroadcasts,4814,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,SentPackets,504,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,SNIRLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,RXTXLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,TotalLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,DroppedPacketsInMac,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,TooLittleTime,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,TimesIntoBackoff,504,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,SlotsBackoff,783,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,NumInternalContention,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[2].nic.mac1609_4,totalBusyTime,1.23428,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].appl,Micro-cloud :3 failed,470,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.phy80211p,busyTime,0.001119632,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,ReceivedUnicastPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,ReceivedBroadcasts,4826,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,SentPackets,492,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,SNIRLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,RXTXLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,TotalLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,DroppedPacketsInMac,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,TooLittleTime,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,TimesIntoBackoff,492,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,SlotsBackoff,735,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,NumInternalContention,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[3].nic.mac1609_4,totalBusyTime,1.234268,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[4].appl,Micro-cloud :4 failed,500,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[4].nic.phy80211p,busyTime,0.001129608,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[4].nic.mac1609_4,ReceivedUnicastPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[4].nic.mac1609_4,ReceivedBroadcasts,4869,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[4].nic.mac1609_4,SentPackets,449,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[4].nic.mac1609_4,SNIRLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[4].nic.mac1609_4,RXTXLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[4].nic.mac1609_4,TotalLostPackets,0,NaN
