run,type,module,name,attrname,attrvalue,value
General-2-20190312-20:56:20-11959,param,,,*.rsu[2..10].appl.loadBalancerId,2,
General-2-20190312-20:56:20-11959,param,,,*.rsu[2].appl.id,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[3].appl.id,1,
General-2-20190312-20:56:20-11959,param,,,*.rsu[4].appl.id,2,
General-2-20190312-20:56:20-11959,param,,,*.rsu[5].appl.id,3,
General-2-20190312-20:56:20-11959,param,,,*.rsu[6].appl.id,4,
General-2-20190312-20:56:20-11959,param,,,*.rsu[7].appl.id,5,
General-2-20190312-20:56:20-11959,param,,,*.rsu[8].appl.id,6,
General-2-20190312-20:56:20-11959,param,,,*.rsu[9].appl.id,7,
General-2-20190312-20:56:20-11959,param,,,*.rsu[10].appl.id,8,
General-2-20190312-20:56:20-11959,param,,,*.rsu[2..10].appl.penaltyInterval,5,
General-2-20190312-20:56:20-11959,param,,,*.rsu[2..10].appl.expectedReliability,1,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].applType,"""RandomForestApp.LoadBalancer""",
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].appl.id,2,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].appl.upperBound,8,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].appl.lowerBound,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].appl.timeOutIntervals,3,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].appl.expectedComputationWork,50,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].appl.replicationFactor,1,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].appl.reputationOn,false,
General-0-20190312-20:55:53-11959,runattr,,,configname,General,
General-0-20190312-20:55:53-11959,runattr,,,datetime,20190312-20:55:53,
General-0-20190312-20:55:53-11959,runattr,,,experiment,General,
General-0-20190312-20:55:53-11959,runattr,,,inifile,omnetpp.ini,
General-0-20190312-20:55:53-11959,runattr,,,iterationvars,$0=3,
General-0-20190312-20:55:53-11959,runattr,,,iterationvarsf,3-,
General-0-20190312-20:55:53-11959,runattr,,,measurement,$0=3,
General-0-20190312-20:55:53-11959,runattr,,,network,PasubioSimulation.MCPasubioScenario,
General-0-20190312-20:55:53-11959,runattr,,,processid,11959,
General-0-20190312-20:55:53-11959,runattr,,,repetition,0,
General-0-20190312-20:55:53-11959,runattr,,,replication,#0,
General-0-20190312-20:55:53-11959,runattr,,,resultdir,results,
General-0-20190312-20:55:53-11959,runattr,,,runnumber,0,
General-0-20190312-20:55:53-11959,runattr,,,seedset,5,
General-0-20190312-20:55:53-11959,param,,,MCPasubioScenario.numRsu,10,
General-0-20190312-20:55:53-11959,param,,,**.debug,false,
General-0-20190312-20:55:53-11959,param,,,**.coreDebug,false,
General-0-20190312-20:55:53-11959,param,,,*.playgroundSizeX,3000m,
General-0-20190312-20:55:53-11959,param,,,*.playgroundSizeY,3000m,
General-0-20190312-20:55:53-11959,param,,,*.playgroundSizeZ,100m,
General-0-20190312-20:55:53-11959,param,,,*.annotations.draw,true,
General-0-20190312-20:55:53-11959,param,,,*.manager.updateInterval,1s,
General-0-20190312-20:55:53-11959,param,,,*.manager.host,"""localhost""",
General-0-20190312-20:55:53-11959,param,,,*.manager.port,9999,
General-0-20190312-20:55:53-11959,param,,,*.manager.autoShutdown,true,
General-0-20190312-20:55:53-11959,param,,,*.manager.launchConfig,"xmldoc(""pasubio.launchd.xml"")",
General-0-20190312-20:55:53-11959,param,,,*.rsu[*].appl.headerLength,80 bit,
General-0-20190312-20:55:53-11959,param,,,*.rsu[*].appl.sendBeacons,false,
General-0-20190312-20:55:53-11959,param,,,*.rsu[*].appl.dataOnSch,false,
General-0-20190312-20:55:53-11959,param,,,*.rsu[*].appl.beaconInterval,1s,
General-0-20190312-20:55:53-11959,param,,,*.connectionManager.sendDirect,true,
General-0-20190312-20:55:53-11959,param,,,*.connectionManager.maxInterfDist,2600m,
General-0-20190312-20:55:53-11959,param,,,*.connectionManager.drawMaxIntfDist,false,
General-0-20190312-20:55:53-11959,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
General-0-20190312-20:55:53-11959,param,,,*.**.nic.mac1609_4.txPower,20mW,
General-0-20190312-20:55:53-11959,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
General-0-20190312-20:55:53-11959,param,,,*.**.nic.phy80211p.sensitivity,-89dBm,
General-0-20190312-20:55:53-11959,param,,,*.**.nic.phy80211p.useThermalNoise,true,
General-0-20190312-20:55:53-11959,param,,,*.**.nic.phy80211p.thermalNoise,-110dBm,
General-0-20190312-20:55:53-11959,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
General-0-20190312-20:55:53-11959,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
General-0-20190312-20:55:53-11959,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
General-0-20190312-20:55:53-11959,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
General-0-20190312-20:55:53-11959,param,,,*.node[*].applType,"""RandomForestApp.NoAppCar""",
General-0-20190312-20:55:53-11959,param,,,*.node[*].appl.headerLength,80 bit,
General-0-20190312-20:55:53-11959,param,,,*.node[*].appl.sendBeacons,false,
General-0-20190312-20:55:53-11959,param,,,*.node[*].appl.dataOnSch,false,
General-0-20190312-20:55:53-11959,param,,,*.node[*].appl.beaconInterval,1s,
General-0-20190312-20:55:53-11959,param,,,*.node[*].veinsmobilityType.debug,true,
General-0-20190312-20:55:53-11959,param,,,*.node[*].veinsmobility.x,-1,
General-0-20190312-20:55:53-11959,param,,,*.node[*].veinsmobility.y,-1,
General-0-20190312-20:55:53-11959,param,,,*.node[*].veinsmobility.z,1.895,
General-0-20190312-20:55:53-11959,param,,,*.rsu[0].mobility.x,500,
General-0-20190312-20:55:53-11959,param,,,*.rsu[0].mobility.y,500,
General-0-20190312-20:55:53-11959,param,,,*.rsu[0].mobility.z,0,
General-0-20190312-20:55:53-11959,param,,,*.rsu[1].mobility.x,400,
