run,type,module,name,attrname,attrvalue,value
General-110-20190306-12:47:47-5553,param,,,*.rsu[9].mobility.y,350,
General-110-20190306-12:47:47-5553,param,,,*.rsu[9].mobility.z,0,
General-110-20190306-12:47:47-5553,param,,,*.rsu[0].applType,"""RandomForestApp.NoAppCar""",
General-110-20190306-12:47:47-5553,param,,,*.rsu[2..9].applType,"""RandomForestApp.VirtualServer""",
General-110-20190306-12:47:47-5553,param,,,*.rsu[2].appl.computationPower,9.8,
General-110-20190306-12:47:47-5553,param,,,*.rsu[3].appl.computationPower,13.8,
General-110-20190306-12:47:47-5553,param,,,*.rsu[4].appl.computationPower,2.93,
General-110-20190306-12:47:47-5553,param,,,*.rsu[5].appl.computationPower,43.1,
General-110-20190306-12:47:47-5553,param,,,*.rsu[6].appl.computationPower,25.8,
General-110-20190306-12:47:47-5553,param,,,*.rsu[7].appl.computationPower,13.4,
General-110-20190306-12:47:47-5553,param,,,*.rsu[8].appl.computationPower,20.9,
General-110-20190306-12:47:47-5553,param,,,*.rsu[9].appl.computationPower,38.2,
General-110-20190306-12:47:47-5553,param,,,*.rsu[2..9].appl.loadBalancerId,2,
General-110-20190306-12:47:47-5553,param,,,*.rsu[2].appl.id,0,
General-110-20190306-12:47:47-5553,param,,,*.rsu[3].appl.id,1,
General-110-20190306-12:47:47-5553,param,,,*.rsu[4].appl.id,2,
General-110-20190306-12:47:47-5553,param,,,*.rsu[5].appl.id,3,
General-110-20190306-12:47:47-5553,param,,,*.rsu[6].appl.id,4,
General-110-20190306-12:47:47-5553,param,,,*.rsu[7].appl.id,5,
General-110-20190306-12:47:47-5553,param,,,*.rsu[8].appl.id,6,
General-110-20190306-12:47:47-5553,param,,,*.rsu[9].appl.id,7,
General-110-20190306-12:47:47-5553,param,,,*.rsu[2..9].appl.penaltyInterval,10,
General-110-20190306-12:47:47-5553,param,,,*.rsu[2..9].appl.expectedReliability,.5,
General-110-20190306-12:47:47-5553,param,,,*.rsu[1].applType,"""RandomForestApp.LoadBalancer""",
General-110-20190306-12:47:47-5553,param,,,*.rsu[1].appl.id,2,
General-110-20190306-12:47:47-5553,param,,,*.rsu[1].appl.upperBound,7,
General-110-20190306-12:47:47-5553,param,,,*.rsu[1].appl.lowerBound,0,
General-110-20190306-12:47:47-5553,param,,,*.rsu[1].appl.timeOutIntervals,3,
General-110-20190306-12:47:47-5553,param,,,*.rsu[1].appl.expectedComputationWork,100,
General-110-20190306-12:47:47-5553,param,,,*.rsu[1].appl.replicationFactor,1,
General-110-20190306-12:47:47-5553,param,,,*.rsu[1].appl.reputationOn,false,
General-112-20190306-12:47:53-5553,runattr,,,configname,General,
General-112-20190306-12:47:53-5553,runattr,,,datetime,20190306-12:47:53,
General-112-20190306-12:47:53-5553,runattr,,,experiment,General,
General-112-20190306-12:47:53-5553,runattr,,,inifile,omnetpp.ini,
General-112-20190306-12:47:53-5553,runattr,,,iterationvars,"$0=10, $1=.5, $2=150, $3=1",
General-112-20190306-12:47:53-5553,runattr,,,iterationvarsf,"10,.5,150,1-",
General-112-20190306-12:47:53-5553,runattr,,,measurement,"$0=10, $1=.5, $2=150, $3=1",
General-112-20190306-12:47:53-5553,runattr,,,network,PasubioSimulation.MCPasubioScenario,
General-112-20190306-12:47:53-5553,runattr,,,processid,5553,
General-112-20190306-12:47:53-5553,runattr,,,repetition,0,
General-112-20190306-12:47:53-5553,runattr,,,replication,#0,
General-112-20190306-12:47:53-5553,runattr,,,resultdir,results,
General-112-20190306-12:47:53-5553,runattr,,,runnumber,112,
General-112-20190306-12:47:53-5553,runattr,,,seedset,112,
General-112-20190306-12:47:53-5553,param,,,MCPasubioScenario.numRsu,10,
General-112-20190306-12:47:53-5553,param,,,**.debug,false,
General-112-20190306-12:47:53-5553,param,,,**.coreDebug,false,
General-112-20190306-12:47:53-5553,param,,,*.playgroundSizeX,3000m,
General-112-20190306-12:47:53-5553,param,,,*.playgroundSizeY,3000m,
General-112-20190306-12:47:53-5553,param,,,*.playgroundSizeZ,100m,
General-112-20190306-12:47:53-5553,param,,,*.annotations.draw,true,
General-112-20190306-12:47:53-5553,param,,,*.manager.updateInterval,1s,
General-112-20190306-12:47:53-5553,param,,,*.manager.host,"""localhost""",
General-112-20190306-12:47:53-5553,param,,,*.manager.port,9999,
General-112-20190306-12:47:53-5553,param,,,*.manager.autoShutdown,true,
General-112-20190306-12:47:53-5553,param,,,*.manager.launchConfig,"xmldoc(""pasubio.launchd.xml"")",
General-112-20190306-12:47:53-5553,param,,,*.rsu[*].appl.headerLength,80 bit,
General-112-20190306-12:47:53-5553,param,,,*.rsu[*].appl.sendBeacons,false,
General-112-20190306-12:47:53-5553,param,,,*.rsu[*].appl.dataOnSch,false,
General-112-20190306-12:47:53-5553,param,,,*.rsu[*].appl.beaconInterval,1s,
General-112-20190306-12:47:53-5553,param,,,*.connectionManager.sendDirect,true,
General-112-20190306-12:47:53-5553,param,,,*.connectionManager.maxInterfDist,2600m,
General-112-20190306-12:47:53-5553,param,,,*.connectionManager.drawMaxIntfDist,false,
